"","water_year","cumMeanDailyT_spring","cumMeanDailyT_fall","cumSnow_spring","cumSnow_fall","cumRain_spring","cumRain_fall","cumMeanDailyT_winterSpring","cumSnow_winterSpring","cumRain_winterSpring","Year","IceInDayofYear","IceOutDayofYear","LengthOfIceCover_days","IceInDayofYear_fed","MEI_mean_previouswinter","MEI_sum_previouswinter","NAO_index_spring","NAO_index_winter"
"1",1929,267.777777777778,NA,0,NA,67.056,NA,NA,NA,NA,1930,NA,NA,NA,NA,NA,NA,NA,NA
"2",1930,312.5,466.388888888889,0,0,132.588,141.986,581.388888888889,1727.2,396.748,1931,NA,NA,NA,NA,NA,NA,NA,NA
"3",1931,168.611111111111,535,546.1,50.8,117.856,92.964,783.888888888889,1244.6,434.086,1932,NA,97,NA,NA,NA,NA,NA,NA
"4",1932,205,410.833333333333,431.8,0,329.946,363.474,568.888888888889,1054.1,866.648,1933,365,98,99,91,NA,NA,NA,NA
"5",1933,203.611111111111,292.5,254,228.6,233.934,116.84,-3.05555555555554,1612.9,588.264,1934,NA,101,NA,NA,NA,NA,NA,NA
"6",1934,300.555555555556,460.277777777778,101.6,55.88,134.62,198.374,405,1120.14,614.426,1935,NA,91,NA,NA,NA,NA,NA,NA
"7",1935,348.888888888889,512.5,93.98,76.2,328.93,224.282,338.055555555555,1376.68,781.558,1936,356,89,98,83,NA,NA,NA,NA
"8",1936,176.666666666667,373.055555555556,393.7,101.6,167.386,168.91,502.777777777778,998.22,703.072,1937,342,99,123,68,NA,NA,NA,NA
"9",1937,427.777777777778,413.611111111111,76.2,0,115.062,230.378,578.333333333333,787.4,569.722,1938,346,84,103,73,NA,NA,NA,NA
"10",1938,200.555555555556,554.722222222222,358.14,330.2,232.664,141.986,586.944444444444,1343.66,703.326,1939,354,108,119,81,NA,NA,NA,NA
"11",1939,114.166666666667,433.888888888889,429.26,27.94,328.168,152.654,238.888888888889,1404.62,661.924,1940,349,120,136,76,NA,NA,NA,NA
"12",1940,344.722222222222,396.944444444444,525.78,177.8,92.964,204.978,563.055555555556,1343.66,518.16,1941,339,103,130,65,NA,NA,NA,NA
"13",1941,430,573.333333333333,441.96,0,179.07,132.842,851.944444444444,980.44,530.098,1942,NA,97,NA,NA,NA,NA,NA,NA
"14",1942,169.166666666667,470.833333333333,297.18,0,175.006,269.24,258.888888888889,1595.12,727.456,1943,351,100,114,78,NA,NA,NA,NA
"15",1943,161.388888888889,426.666666666667,299.72,66.04,228.092,315.722,316.388888888889,947.42,667.004,1944,348,106,123,75,NA,NA,NA,NA
"16",1944,562.5,441.111111111111,124.46,358.14,167.64,167.132,535.833333333333,2280.92,627.38,1945,340,85,111,66,NA,NA,NA,NA
"17",1945,452.5,466.111111111111,152.4,355.6,84.328,244.602,558.333333333333,1694.18,558.8,1946,NA,83,NA,NA,NA,NA,NA,NA
"18",1946,220.555555555556,623.055555555556,381,0,202.184,57.912,653.888888888889,1059.18,447.802,1947,361,99,103,88,NA,NA,NA,NA
"19",1947,315,561.944444444444,304.8,43.18,228.092,205.232,410.277777777778,1826.26,641.35,1948,353,91,103,80,NA,NA,NA,NA
"20",1948,377.5,555.555555555556,228.6,63.5,126.492,204.47,905,1328.42,762.762,1949,361,84,89,87,NA,NA,NA,NA
"21",1949,152.777777777778,567.5,497.84,104.14,180.594,122.682,612.5,1617.98,635.762,1950,33,105,72,125,NA,NA,0.122016393442623,0.0250264900662252
"22",1950,323.055555555556,572.222222222222,337.82,55.88,287.782,170.18,716.111111111111,1590.04,806.704,1951,NA,89,NA,NA,NA,NA,-0.273016393442623,0.40194701986755
"23",1951,317.777777777778,428.888888888889,375.92,190.5,352.806,283.21,598.055555555556,1602.74,977.392,1952,350,97,112,77,NA,NA,-0.143196721311475,-0.128
"24",1952,313.055555555556,462.5,0,68.58,368.808,132.08,717.222222222222,779.78,878.078,1953,364,81,83,90,NA,NA,-0.354245901639344,0.222251655629139
"25",1953,351.111111111111,558.055555555556,0,177.8,173.228,180.848,812.5,1066.8,610.616,1954,NA,80,NA,NA,NA,NA,0.153213114754098,0.366774834437086
"26",1954,363.055555555556,547.5,370.84,88.9,238.252,209.804,636.111111111111,812.8,675.64,1955,9,94,85,101,NA,NA,-0.157540983606557,-0.534152317880795
"27",1955,131.388888888889,485.277777777778,1442.72,190.5,286.512,443.484,303.333333333333,2402.84,907.542,1956,347,118,136,74,NA,NA,-0.119327868852459,0.152230263157895
"28",1956,352.777777777778,522.5,421.64,177.8,165.1,141.224,673.055555555556,1511.3,520.192,1957,366,89,89,92,NA,NA,-0.0943770491803279,0.382854304635762
"29",1957,307.5,515,972.82,0,251.206,192.024,558.611111111111,2489.2,906.018,1958,365,108,108,92,NA,NA,-0.294016393442623,-0.0313245033112583
"30",1958,309.166666666667,461.944444444444,734.06,195.58,181.864,270.764,323.055555555556,1353.82,647.192,1959,343,96,118,70,NA,NA,0.122590163934426,0.180132450331126
"31",1959,214.166666666667,463.055555555556,424.18,15.24,148.336,336.042,494.444444444444,1452.88,806.704,1960,356,107,116,83,NA,NA,0.224885245901639,-0.526717105263158
"32",1960,217.222222222222,529.166666666667,909.32,0,251.968,89.154,339.444444444444,2547.62,519.938,1961,349,112,129,75,NA,NA,-0.127868852459016,-0.0840728476821192
"33",1961,304.166666666667,532.5,142.24,187.96,178.054,155.194,481.111111111111,1732.28,654.05,1962,350,99,114,77,NA,NA,-0.368459016393443,0.089
"34",1962,319.444444444444,416.666666666667,345.44,165.1,128.778,222.758,258.888888888889,2082.8,602.488,1963,345,99,119,72,NA,NA,-0.330639344262295,-0.528655629139073
"35",1963,291.666666666667,679.722222222222,50.8,7.62,187.198,177.292,613.611111111111,1841.5,623.062,1964,351,100,114,78,NA,NA,-0.139508196721311,-0.132782894736842
"36",1964,-90.5555555555556,545,543.56,0,147.574,73.406,117.222222222222,1605.28,498.856,1965,11,NA,NA,103,NA,NA,-0.0738360655737705,-0.0736026490066225
"37",1965,255.277777777778,421.944444444444,243.84,7.62,131.572,150.876,451.944444444444,1562.1,501.65,1966,354,98,109,81,NA,NA,0.0840327868852459,-0.252682119205298
"38",1966,218.611111111111,517.222222222222,1435.1,5.08,216.662,187.452,495,2908.3,565.15,1967,357,100,108,84,NA,NA,0.492295081967213,-0.00125827814569536
"39",1967,429.166666666667,377.5,175.26,182.88,160.782,156.464,384.166666666667,1033.78,523.494,1968,360,95,100,87,NA,NA,-0.0661639344262295,-0.51353947368421
"40",1968,307.5,490.277777777778,416.56,528.32,202.438,226.06,426.111111111111,1902.46,654.812,1969,346,101,121,72,NA,NA,0.00177049180327869,-0.203529801324503
"41",1969,236.666666666667,460,502.92,30.48,181.864,198.374,232.5,2087.88,654.558,1970,351,108,122,78,NA,NA,-0.467114754098361,-0.310754966887417
"42",1970,190.555555555556,523.055555555556,792.48,0,131.572,226.314,313.055555555556,2438.4,664.972,1971,350,112,127,77,NA,NA,-0.183327868852459,0.0908741721854305
"43",1971,173.055555555556,516.944444444444,452.12,508,220.218,210.82,431.666666666667,2357.12,707.898,1972,2,110,108,94,NA,NA,0.187196721311475,0.241335526315789
"44",1972,420.277777777778,314.444444444444,96.52,203.2,267.716,352.044,530.555555555556,1176.02,930.148,1973,1,82,81,93,NA,NA,0.0711311475409836,-0.0507152317880795
"45",1973,350.277777777778,522.222222222222,411.48,0,195.834,128.524,652.777777777778,1186.18,703.834,1974,5,100,95,97,NA,NA,0.276918032786885,0.31105298013245
"46",1974,178.888888888889,408.888888888889,149.86,0,165.608,106.934,453.055555555556,1422.4,586.74,1975,360,94,99,87,NA,NA,-0.403344262295082,0.0748609271523179
"47",1975,414.166666666667,611.388888888889,429.26,15.24,147.32,254,746.111111111111,1564.64,689.864,1976,359,85,91,86,NA,NA,0.324377049180328,-0.0568815789473684
"48",1976,428.333333333333,315.277777777778,855.98,124.46,334.264,228.346,251.111111111111,2014.22,742.442,1977,337,96,125,63,NA,NA,-0.0702950819672131,-0.200556291390728
"49",1977,208.333333333333,475.277777777778,350.52,76.2,156.972,337.82,191.666666666667,2240.28,849.122,1978,347,105,123,74,NA,NA,0.0695081967213115,0.170668874172185
"50",1978,352.5,456.666666666667,147.32,187.96,203.454,110.744,382.777777777778,1582.42,795.02,1979,355,96,106,82,NA,NA,-0.116426229508197,-0.0693576158940397
"51",1979,293.888888888889,517.777777777778,508,25.4,360.934,228.854,569.722222222222,1000.76,689.102,1980,37,91,54,129,0.47,1.41,0.264,-0.126835526315789
"52",1980,361.388888888889,375.277777777778,73.66,261.62,98.044,190.5,391.666666666667,952.5,499.11,1981,351,75,90,77,0,0,-0.151229508196721,-0.0228476821192053
"53",1981,248.055555555556,412.777777777778,678.18,0,200.152,135.89,219.444444444444,2324.1,651.764,1982,347,108,126,74,-0.16,-0.48,0.433295081967213,0.356675496688742
"54",1982,298.888888888889,545.833333333333,635,12.7,482.6,112.014,735.555555555556,1965.96,844.55,1983,14,92,78,106,2.23,6.69,0.131393442622951,0.150960264900662
"55",1983,171.666666666667,491.666666666667,1008.38,106.68,302.768,231.648,391.666666666667,2100.58,889,1984,355,103,113,82,-0.43,-1.29,-0.0760983606557377,0.334973684210526
"56",1984,421.666666666667,557.5,233.68,0,119.126,98.298,790,977.9,364.236,1985,5,80,75,97,-0.346666666666667,-1.04,0.161950819672131,-0.164847682119205
"57",1985,391.388888888889,515.555555555556,271.78,139.7,193.04,228.346,556.666666666667,1564.64,696.976,1986,354,92,103,81,-0.126666666666667,-0.38,0.386852459016393,0.553258278145695
"58",1986,394.166666666667,447.222222222222,76.2,436.88,322.326,249.428,581.111111111111,1833.88,796.798,1987,353,90,102,80,0.76,2.28,0.585885245901639,-0.127774834437086
"59",1987,328.055555555556,461.111111111111,101.6,284.48,84.074,212.09,580.555555555556,2085.34,522.224,1988,365,96,96,92,0.91,2.73,-0.279229508196721,0.141296052631579
"60",1988,305.833333333333,425,134.62,0,149.098,215.138,548.611111111111,360.68,487.934,1989,348,87,105,74,-1.54666666666667,-4.64,0.604524590163934,0.209894039735099
"61",1989,416.388888888889,486.111111111111,342.9,101.6,187.96,245.11,650,1536.7,708.406,1990,339,76,102,66,-0.303333333333333,-0.91,0.940754098360656,0.280933774834437
"62",1990,430.555555555556,611.111111111111,292.1,0,207.01,261.112,1007.22222222222,965.2,790.956,1991,10,83,73,102,0.113333333333333,0.34,0.015016393442623,0.312980132450331
"63",1991,210.833333333333,505,254,58.42,191.516,190.246,575.555555555556,795.02,604.774,1992,359,99,105,86,1.18333333333333,3.55,0.732491803278689,0.136888157894737
"64",1992,250.277777777778,385,855.98,83.82,314.198,183.642,365,2258.06,782.32,1993,11,107,96,103,0.773333333333333,2.32,0.516,0.601119205298013
"65",1993,332.222222222222,452.777777777778,510.54,0,224.79,240.538,296.666666666667,2118.36,789.178,1994,359,107,113,86,0.636666666666667,1.91,0.624327868852459,0.330867549668874
"66",1994,340.277777777778,577.222222222222,208.28,40.64,139.954,132.842,811.944444444444,784.86,525.78,1995,30,83,53,122,1.11,3.33,0.150081967213115,-0.0762384105960265
"67",1995,247.222222222222,495,736.6,365.76,277.114,433.832,369.444444444444,3136.9,1005.078,1996,344,99,120,71,-0.713333333333333,-2.14,-0.0448852459016393,-0.192046052631579
"68",1996,298.055555555556,403.888888888889,627.38,0,207.264,239.014,597.222222222222,1805.94,794.766,1997,1,97,96,93,-0.353333333333333,-1.06,0.244196721311475,-0.228456953642384
"69",1997,431.944444444444,426.944444444444,218.44,154.94,217.424,219.456,867.777777777778,1209.04,734.822,1998,20,87,67,112,2.03333333333333,6.1,0.173803278688525,0.129172185430464
"70",1998,353.333333333333,525.833333333333,406.4,0,176.53,170.942,834.722222222222,1043.94,635.762,1999,2,92,90,94,-1.25333333333333,-3.76,-0.0910327868852459,0.389238410596026
"71",1999,432.777777777778,568.888888888889,160.02,0,230.632,156.718,860.555555555556,1021.08,619.252,2000,20,86,66,112,-1.35666666666667,-4.07,0.183540983606557,0.152907894736842
"72",2000,290.555555555556,496.666666666667,754.38,86.36,209.804,146.304,519.444444444444,2567.94,648.208,2001,354,110,122,80,-0.753333333333333,-2.26,-0.259606557377049,0.0752516556291391
"73",2001,434.722222222222,658.055555555556,284.48,0,208.28,35.306,1243.05555555556,960.12,371.602,2002,34,68,34,126,-0.183333333333333,-0.55,0.491819672131148,-0.186847682119205
"74",2002,326.944444444444,408.333333333333,416.56,147.32,152.654,353.06,350.833333333333,2387.6,838.708,2003,6,107,101,98,0.803333333333333,2.41,0.115459016393443,0.111556291390728
"75",2003,408.611111111111,529.166666666667,398.78,12.7,172.974,285.75,622.222222222222,1518.92,737.108,2004,8,96,88,100,0.216666666666667,0.65,0.612819672131148,0.0528947368421053
"76",2004,333.888888888889,500.833333333333,756.92,88.9,304.038,163.576,606.111111111111,2082.8,840.994,2005,16,99,83,108,0.453333333333333,1.36,-0.465065573770492,0.0372384105960265
"77",2005,418.055555555556,565.555555555556,124.46,78.74,132.334,586.994,908.888888888889,1308.1,1051.306,2006,348,86,103,75,-0.73,-2.19,-0.0215081967213115,NA
"78",2006,292.222222222222,557.777777777778,518.16,0,355.346,307.848,777.222222222222,1010.92,887.476,2007,23,106,83,115,0.723333333333333,2.17,0.448377049180328,NA
"79",2007,409.444444444444,582.222222222222,104.14,48.26,327.152,241.3,831.944444444444,1597.66,1052.83,2008,347,99,117,74,-1.16333333333333,-3.49,-0.158131147540984,0.123335526315789
"80",2008,432.5,445.833333333333,58.42,7.62,163.068,181.102,615.555555555556,1198.88,674.37,2009,366,89,89,92,-1.07333333333333,-3.22,0.151950819672131,-0.332390728476821
"81",2009,573.055555555556,529.166666666667,58.42,33.02,260.604,168.91,873.611111111111,2128.52,817.626,2010,8,89,81,100,0.856666666666667,2.57,-0.383918032786885,-0.786079470198676
"82",2010,364.166666666667,517.222222222222,274.32,2.54,355.6,240.284,571.666666666667,1800.86,903.224,2011,353,100,112,80,-2.04333333333333,-6.13,0.791245901639344,0.470185430463576
"83",2011,582.222222222222,601.666666666667,58.42,439.42,117.348,258.064,1268.88888888889,1013.46,624.078,2012,16,76,60,108,-1.27333333333333,-3.82,0.464311475409836,-0.0594078947368421
"84",2012,301.388888888889,481.388888888889,411.48,60.96,153.416,164.338,683.888888888889,1330.96,603.758,2013,3,101,98,95,-0.12,-0.36,-0.186606557377049,0.0713973509933775
"85",2013,255.833333333333,503.611111111111,10.16,33.02,207.518,172.974,426.666666666667,1778,720.09,2014,355,102,112,82,-0.23,-0.69,0.307754098360656,0.29753642384106
"86",2014,267.222222222222,504.722222222222,304.8,325.12,162.306,240.03,376.388888888889,1719.58,648.716,2015,365,107,107,92,0.25,0.75,0.572868852459016,0.810867549668874
"87",2015,463.888888888889,575.277777777778,187.96,0,73.406,192.024,1144.16666666667,388.62,580.136,2016,24,70,46,116,1.96333333333333,5.89,0.316934426229508,0.269190789473684
"88",2016,397.5,569.722222222222,515.62,160.02,227.838,209.804,1011.94444444444,1772.92,726.44,2017,351,97,112,77,-0.483333333333333,-1.45,0.637,0.249026490066225
"89",2017,240.833333333333,595.833333333333,721.36,0,210.312,170.942,668.333333333333,1592.58,685.8,2018,361,101,105,88,-0.663333333333333,-1.99,0.0558032786885246,0.858728813559322
"90",2018,376.666666666667,418.888888888889,129.54,241.3,164.084,334.01,658.611111111111,970.28,864.616,2019,346,92,111,73,0.266666666666667,0.8,NA,NA
"91",2019,420.277777777778,466.388888888889,50.8,0,139.954,254.254,917.777777777778,604.52,623.57,2020,NA,NA,NA,NA,0.376666666666667,1.13,NA,NA
